"","GEOID","NAME","med_rentE","med_rentM","no_bedE","no_bedM","one_bedE","one_bedM","med_rent_percE","med_rent_percM","two_bedE","two_bedM","three_bedE","three_bedM","four_bedE","four_bedM","five_bedE","five_bedM"
"78","10003013610","Census Tract 136.10, New Castle County, Delaware",1310,45,NA,NA,1170,57,27.4,16.9,1352,35,NA,NA,NA,NA,NA,NA
"79","10003013700","Census Tract 137, New Castle County, Delaware",1023,76,NA,NA,917,44,26.2,3.8,1124,32,1438,464,1609,463,NA,NA
"80","10003014904","Census Tract 149.04, New Castle County, Delaware",1378,92,NA,NA,1211,109,38.5,14.7,1435,108,1621,712,NA,NA,NA,NA
"81","10003016200","Census Tract 162, New Castle County, Delaware",1377,66,NA,NA,1178,231,22.6,7.9,1382,38,1741,49,NA,NA,NA,NA
"82","10003016301","Census Tract 163.01, New Castle County, Delaware",1452,60,NA,NA,1230,177,24.8,5.5,1436,55,1833,488,NA,NA,NA,NA
"83","10003016601","Census Tract 166.01, New Castle County, Delaware",1362,103,NA,NA,NA,NA,24,4.5,1287,149,1515,209,NA,NA,NA,NA
"84","10003016602","Census Tract 166.02, New Castle County, Delaware",1665,150,NA,NA,NA,NA,24.7,32.6,NA,NA,1658,573,NA,NA,NA,NA
"85","10003016901","Census Tract 169.01, New Castle County, Delaware",1442,549,NA,NA,NA,NA,26.8,11.1,NA,NA,NA,NA,1977,324,NA,NA
"86","10003000602","Census Tract 6.02, New Castle County, Delaware",853,111,294,270,809,219,33.3,11.6,903,127,986,230,NA,NA,NA,NA
"87","10003002800","Census Tract 28, New Castle County, Delaware",989,57,957,89,962,91,28,5.4,1058,123,1104,750,NA,NA,NA,NA
"88","10003002900","Census Tract 29, New Castle County, Delaware",468,106,356,126,289,100,31,3.5,617,329,1194,716,1276,199,NA,NA
"89","10003001902","Census Tract 19.02, New Castle County, Delaware",1128,185,NA,NA,1612,231,29.9,6.8,1065,168,839,479,NA,NA,NA,NA
"90","10003003002","Census Tract 30.02, New Castle County, Delaware",754,168,NA,NA,532,216,39.6,11.1,814,459,838,140,385,114,NA,NA
"91","10003010104","Census Tract 101.04, New Castle County, Delaware",972,33,NA,NA,911,59,30.6,8.1,969,33,1195,118,2059,1020,NA,NA
"92","10003010502","Census Tract 105.02, New Castle County, Delaware",1120,72,NA,NA,1096,75,27.1,5.2,1044,167,1042,675,NA,NA,NA,NA
"93","10003010702","Census Tract 107.02, New Castle County, Delaware",1106,98,NA,NA,957,49,43,8.9,1159,45,1264,383,NA,NA,NA,NA
