"","GEOID","NAME","med_incE","med_incM","med_fE","med_fM","hh_incE","hh_incM","tot_hhE","tot_hhM","renter_householdersE","renter_householdersM","tot_pop_rentE","tot_pop_rentM","tot_huE","tot_huM","pop_huE","pop_huM","popTotEE","popTotEM"
"112","10003001400","Census Tract 14, New Castle County, Delaware",31823,3004,NA,NA,976,73,976,73,982,208,1008,214,1078,43,2106,229,2232,238
"113","10003012100","Census Tract 121, New Castle County, Delaware",33862,3873,NA,NA,1140,91,1140,91,817,247,870,261,1230,33,2878,417,3064,436
"114","10003013607","Census Tract 136.07, New Castle County, Delaware",50791,3228,NA,NA,2770,85,2770,85,2420,530,2432,534,2815,51,5744,431,5806,468
"115","10003015600","Census Tract 156, New Castle County, Delaware",25902,2334,83333,16419,801,52,801,52,646,280,669,298,876,30,2633,297,2638,297
"116","10003011206","Census Tract 112.06, New Castle County, Delaware",47854,5315,NA,NA,1460,72,1460,72,341,195,347,199,1549,51,4241,290,4294,302
"117","10003000500","Census Tract 5, New Castle County, Delaware",24375,6777,50069,49049,1318,114,1318,114,1586,472,1586,472,1576,61,3886,498,3909,497
"118","10003013503","Census Tract 135.03, New Castle County, Delaware",52123,5180,NA,NA,2606,55,2606,55,578,274,578,274,2621,48,7143,438,7151,438
"119","10005050101","Census Tract 501.01, Sussex County, Delaware",34295,2963,125061,75187,1430,94,1430,94,662,302,674,306,1580,71,3989,404,4006,406
"120","10005050401","Census Tract 504.01, Sussex County, Delaware",30647,3817,86111,24941,1383,115,1383,115,427,214,427,214,1588,75,3447,284,3454,285
"121","10005050601","Census Tract 506.01, Sussex County, Delaware",32304,4030,45313,33402,1818,95,1818,95,653,367,653,367,2081,87,5069,430,5127,433
"122","10005050301","Census Tract 503.01, Sussex County, Delaware",27347,2955,70917,70252,3065,184,3065,184,2605,676,2641,681,3364,129,8565,863,8632,861
"123","10005050501","Census Tract 505.01, Sussex County, Delaware",26039,3448,NA,NA,1707,98,1707,98,1303,426,1312,427,1796,86,4391,357,4400,356
"124","10005051303","Census Tract 513.03, Sussex County, Delaware",38932,3491,NA,NA,2458,161,2458,161,984,458,986,458,4744,140,5397,484,5400,484
"125","10005050403","Census Tract 504.03, Sussex County, Delaware",29727,4445,57411,45646,1268,98,1268,98,700,271,716,278,1404,83,3774,328,3774,328
"126","10005050803","Census Tract 508.03, Sussex County, Delaware",32583,5565,NA,NA,4058,250,4058,250,1172,764,1172,764,5398,238,8954,677,8963,677
"127","10005051500","Census Tract 515, Sussex County, Delaware",30895,5388,95429,48391,1963,207,1963,207,1344,382,1344,382,2754,258,5487,475,5487,475
"128","10003016401","Census Tract 164.01, New Castle County, Delaware",48357,11412,250001,NA,2096,85,2096,85,20,28,20,28,2176,45,6251,540,6271,531
"129","10003013612","Census Tract 136.12, New Castle County, Delaware",56090,12256,NA,NA,2183,77,2183,77,451,247,451,247,2240,36,5628,330,5865,347
"130","10003014502","Census Tract 145.02, New Castle County, Delaware",3920,617,NA,NA,1018,102,1018,102,2409,356,2409,356,1331,88,2832,342,6555,884
"131","10003014703","Census Tract 147.03, New Castle County, Delaware",29012,2793,56645,9241,1973,101,1973,101,1917,452,1917,452,2107,45,4770,375,4775,374
"132","10003015100","Census Tract 151, New Castle County, Delaware",40475,8791,NA,NA,1344,48,1344,48,716,384,741,390,1368,29,3469,256,3474,256
"133","10003016000","Census Tract 160, New Castle County, Delaware",33236,3345,91250,45773,985,70,985,70,945,348,945,348,1069,24,2617,341,2617,341
"134","10003000400","Census Tract 4, New Castle County, Delaware",28538,5009,NA,NA,1601,115,1601,115,1364,220,1364,220,1736,52,2917,354,2945,355
"135","10003001300","Census Tract 13, New Castle County, Delaware",64263,8778,NA,NA,1661,98,1661,98,468,132,468,132,1821,82,3502,223,3524,227
"136","10003002600","Census Tract 26, New Castle County, Delaware",23655,4061,56548,22934,1296,110,1296,110,2316,467,2364,477,1545,46,3523,450,3651,469
"137","10003010200","Census Tract 102, New Castle County, Delaware",39185,5035,118250,79232,733,28,733,28,248,177,248,177,745,21,2241,178,2241,178
"138","10003010300","Census Tract 103, New Castle County, Delaware",37018,5398,NA,NA,1347,92,1347,92,935,425,935,425,1479,27,3625,396,3625,396
"139","10005050504","Census Tract 505.04, Sussex County, Delaware",28613,4249,63889,59012,2041,176,2041,176,1495,383,1495,383,2108,175,5277,552,6727,563
"140","10005050703","Census Tract 507.03, Sussex County, Delaware",25833,2743,158750,142692,906,82,906,82,312,116,321,118,1590,70,1963,175,1963,175
"141","10005050705","Census Tract 507.05, Sussex County, Delaware",26795,3131,NA,NA,2259,208,2259,208,887,475,944,485,3716,223,4815,502,4815,502
"142","10005050704","Census Tract 507.04, Sussex County, Delaware",28502,4475,NA,NA,2390,191,2390,191,1057,538,1057,538,3629,159,5408,612,5408,612
"143","10005050706","Census Tract 507.06, Sussex County, Delaware",28638,3575,NA,NA,831,87,831,87,132,72,132,72,1855,110,1680,213,1680,213
"144","10005050901","Census Tract 509.01, Sussex County, Delaware",44194,5148,NA,NA,1156,115,1156,115,599,251,616,261,1900,106,2591,257,2591,257
"145","10005050902","Census Tract 509.02, Sussex County, Delaware",41151,7304,NA,NA,2458,281,2458,281,1198,320,1198,320,4047,284,4808,364,5028,354
"146","10005051004","Census Tract 510.04, Sussex County, Delaware",36363,3659,80833,54162,2522,193,2522,193,762,305,762,305,3473,134,5537,403,5544,404
"147","10005051005","Census Tract 510.05, Sussex County, Delaware",35979,2377,87500,37440,2450,141,2450,141,445,169,448,170,3448,127,5385,366,5385,366
"148","10005051006","Census Tract 510.06, Sussex County, Delaware",40324,4777,NA,NA,1770,122,1770,122,240,117,240,117,2778,94,3543,235,3543,235
"149","10005051007","Census Tract 510.07, Sussex County, Delaware",38668,4369,NA,NA,2589,223,2589,223,499,327,499,327,4595,206,4934,466,4939,467
"150","10005051101","Census Tract 511.01, Sussex County, Delaware",62500,8780,NA,NA,471,59,471,59,156,60,156,60,1973,45,876,109,876,109
"151","10005051102","Census Tract 511.02, Sussex County, Delaware",55208,7761,NA,NA,552,55,552,55,117,47,117,47,2332,57,985,95,985,95
"152","10005051103","Census Tract 511.03, Sussex County, Delaware",49856,9659,NA,NA,631,77,631,77,275,240,275,240,2527,67,1262,260,1262,260
"153","10005051201","Census Tract 512.01, Sussex County, Delaware",37241,7391,NA,NA,755,100,755,100,340,197,364,229,3199,112,1510,256,1510,256
"154","10005051202","Census Tract 512.02, Sussex County, Delaware",49005,6567,NA,NA,457,65,457,65,10,13,10,13,1950,29,807,105,838,131
"155","10005051702","Census Tract 517.02, Sussex County, Delaware",30698,2816,76283,20756,2198,169,2198,169,762,425,814,485,2485,128,5570,459,5570,459
"156","10005051900","Census Tract 519, Sussex County, Delaware",28098,2709,52604,22301,1761,96,1761,96,1266,329,1286,334,1924,83,4153,305,4248,302
"157","10005050602","Census Tract 506.02, Sussex County, Delaware",29078,4735,NA,NA,2371,257,2371,257,1978,511,2022,525,2785,289,6354,598,6516,584
"158","10005051801","Census Tract 518.01, Sussex County, Delaware",25477,3662,NA,NA,1956,161,1956,161,1521,416,1693,501,2143,116,4968,537,4971,537
"159","10005050302","Census Tract 503.02, Sussex County, Delaware",27692,2661,80368,55435,1761,109,1761,109,734,210,734,210,1999,76,5154,423,5162,421
"160","10005050701","Census Tract 507.01, Sussex County, Delaware",28319,2001,72969,60397,1896,96,1896,96,858,220,863,221,2211,71,4471,287,4550,302
"161","10005051301","Census Tract 513.01, Sussex County, Delaware",37766,2796,121042,34115,2881,202,2881,202,646,385,733,462,4758,138,7162,613,7162,613
"162","10005051302","Census Tract 513.02, Sussex County, Delaware",35594,5146,167917,52970,1830,183,1830,183,483,192,496,197,2961,127,4030,492,4030,492
"163","10005051701","Census Tract 517.01, Sussex County, Delaware",30172,4233,90602,49669,1456,98,1456,98,527,216,527,216,1680,82,4043,474,4043,474
"164","10005051802","Census Tract 518.02, Sussex County, Delaware",27428,5748,NA,NA,1483,181,1483,181,2521,437,2538,440,1883,211,4382,454,4399,455
"165","10005050103","Census Tract 501.03, Sussex County, Delaware",39284,4284,173250,135695,1910,98,1910,98,602,277,602,277,2464,101,4615,265,4648,272
"166","10003010800","Census Tract 108, New Castle County, Delaware",52515,5752,NA,NA,1840,93,1840,93,895,255,895,255,1959,53,4404,255,4614,277
"167","10003010900","Census Tract 109, New Castle County, Delaware",50917,9095,NA,NA,1044,54,1044,54,127,93,127,93,1088,25,2508,162,2536,163
"168","10003012400","Census Tract 124, New Castle County, Delaware",34248,3774,NA,NA,1707,136,1707,136,1068,449,1068,449,1976,113,4305,412,4310,412
"169","10003011100","Census Tract 111, New Castle County, Delaware",43064,3636,93250,37263,1100,41,1100,41,708,230,710,230,1176,26,2844,203,2854,202
"170","10003011202","Census Tract 112.02, New Castle County, Delaware",40034,4912,213143,157228,1577,45,1577,45,49,37,49,37,1604,32,4128,262,4128,262
"171","10003011800","Census Tract 118, New Castle County, Delaware",62274,4837,NA,NA,2030,110,2030,110,1312,259,1312,259,2274,76,4119,293,4167,297
"172","10003013400","Census Tract 134, New Castle County, Delaware",38831,5627,NA,NA,978,71,978,71,431,264,431,264,1044,25,2182,174,2245,178
"173","10003013613","Census Tract 136.13, New Castle County, Delaware",44833,7013,135741,6773,2095,90,2095,90,1122,348,1122,348,2150,32,5176,330,5384,387
"174","10003014402","Census Tract 144.02, New Castle County, Delaware",30338,7508,68906,48823,1380,128,1380,128,1454,366,1461,364,1637,81,3230,317,3243,319
"175","10003014501","Census Tract 145.01, New Castle County, Delaware",7380,2901,NA,NA,977,87,977,87,2314,314,2322,313,1083,71,2414,315,2414,315
"176","10003014805","Census Tract 148.05, New Castle County, Delaware",53545,7166,NA,NA,3414,101,3414,101,1295,547,1295,547,3494,67,10479,551,10479,551
"177","10003016100","Census Tract 161, New Castle County, Delaware",40817,4209,NA,NA,950,99,950,99,480,161,480,161,1051,78,2176,242,2176,242
"178","10003016302","Census Tract 163.02, New Castle County, Delaware",36328,3516,88348,7660,2308,124,2308,124,436,230,436,230,2523,42,7248,587,7349,582
"179","10003016801","Census Tract 168.01, New Castle County, Delaware",42196,8143,129395,6472,2216,173,2216,173,441,204,441,204,2289,155,6641,519,6654,520
"180","10003002200","Census Tract 22, New Castle County, Delaware",23472,3135,NA,NA,767,82,767,82,1711,368,1731,374,1094,54,2486,359,2518,356
"181","10003011000","Census Tract 110, New Castle County, Delaware",41726,7451,111250,23203,1225,33,1225,33,271,183,271,183,1240,26,3200,236,3206,236
"182","10003011600","Census Tract 116, New Castle County, Delaware",50000,8474,NA,NA,1311,78,1311,78,593,233,593,233,1364,49,3337,257,3432,265
"183","10003013000","Census Tract 130, New Castle County, Delaware",34911,5218,NA,NA,699,43,699,43,277,153,277,153,749,20,1881,129,1881,129
"184","10003016604","Census Tract 166.04, New Castle County, Delaware",45264,7347,NA,NA,3918,354,3918,354,1698,807,1727,806,4389,285,12083,1251,12083,1251
"185","10003014810","Census Tract 148.10, New Castle County, Delaware",40649,3923,55250,18547,2494,69,2494,69,2395,870,2410,878,2547,36,7425,667,7435,669
"186","10003014906","Census Tract 149.06, New Castle County, Delaware",30985,2248,57045,36117,1822,109,1822,109,2307,412,2348,416,1958,89,5097,366,5097,366
"187","10003014907","Census Tract 149.07, New Castle County, Delaware",36426,3466,76774,11354,1838,96,1838,96,1180,435,1180,435,1901,82,4910,403,4915,403
"188","10003014908","Census Tract 149.08, New Castle County, Delaware",28526,5674,NA,NA,934,94,934,94,1303,301,1303,301,1055,49,1942,322,1947,322
"189","10003014909","Census Tract 149.09, New Castle County, Delaware",33468,4152,NA,NA,2321,83,2321,83,2819,554,2819,554,2365,58,5873,607,5878,607
"190","10003015502","Census Tract 155.02, New Castle County, Delaware",27412,6793,NA,NA,1010,67,1010,67,1301,281,1347,290,1075,46,2880,338,2880,338
"191","10003015802","Census Tract 158.02, New Castle County, Delaware",27875,4101,97857,95096,729,53,729,53,635,272,635,272,813,31,2268,237,2268,237
"192","10003016305","Census Tract 163.05, New Castle County, Delaware",38140,5476,138594,90270,2755,150,2755,150,2341,629,2371,634,2969,81,7869,815,7896,818
"193","10003016404","Census Tract 164.04, New Castle County, Delaware",41389,3872,113056,6911,1077,62,1077,62,488,136,494,137,1208,43,2903,255,2977,256
