"","GEOID","NAME","rent_30_10kE","rent_30_10kM","rent_35_10kE","rent_35_10kM","rent_40_10kE","rent_40_10kM","rent_50_10kE","rent_50_10kM","rent_30_20kE","rent_30_20kM","rent_35_20kE","rent_35_20kM","rent_40_20kE","rent_40_20kM","rent_50_20kE","rent_50_20kM","rent_30_35kE","rent_30_35kM","rent_35_35kE","rent_35_35kM","rent_40_35kE","rent_40_35kM","rent_50_35kE","rent_50_35kM","rent_30_50kE","rent_30_50kM","rent_35_50kE","rent_35_50kM","rent_40_50kE","rent_40_50kM","rent_50_50kE","rent_50_50kM","rent_30_75kE","rent_30_75kM","rent_35_75kE","rent_35_75kM","rent_40_75kE","rent_40_75kM","rent_50_75kE","rent_50_75kM"
"11","10001041900","Census Tract 419, Kent County, Delaware",0,17,0,17,0,17,9,14,19,32,0,17,0,17,25,34,0,17,0,17,11,17,12,18,13,20,0,17,0,17,0,17,0,17,0,17,0,17,0,17
"12","10001042201","Census Tract 422.01, Kent County, Delaware",0,19,0,19,29,45,61,85,38,61,0,19,0,19,125,83,0,19,0,19,231,150,2,11,59,72,38,65,55,59,33,54,34,42,0,19,0,19,0,19
"13","10001042500","Census Tract 425, Kent County, Delaware",45,59,0,12,0,12,66,49,0,12,0,12,0,12,82,67,30,38,0,12,82,96,0,12,22,40,96,74,30,49,0,12,0,12,0,12,0,12,0,12
"14","10001041000","Census Tract 410, Kent County, Delaware",22,34,0,17,0,17,57,55,44,64,0,17,34,52,274,152,17,26,16,24,51,62,28,34,44,75,129,100,0,17,0,17,30,40,0,17,13,22,0,17
"15","10003001600","Census Tract 16, New Castle County, Delaware",0,12,26,30,0,12,58,40,12,12,0,12,10,16,75,49,56,48,0,12,37,37,18,20,0,12,7,12,0,12,3,6,0,12,0,12,0,12,0,12
"16","10003002300","Census Tract 23, New Castle County, Delaware",0,12,0,12,0,12,51,61,0,12,0,12,0,12,62,74,72,84,16,19,40,49,65,53,15,25,11,17,16,27,23,36,0,12,0,12,0,12,0,12
"17","10003012000","Census Tract 120, New Castle County, Delaware",0,12,0,12,0,12,19,22,0,12,0,12,0,12,28,26,0,12,9,15,0,12,21,34,0,12,25,41,0,12,0,12,0,12,10,15,0,12,0,12
"18","10003012200","Census Tract 122, New Castle County, Delaware",0,12,0,12,0,12,82,65,0,12,0,12,0,12,63,47,33,40,13,19,6,10,67,56,12,19,0,12,0,12,0,12,7,12,0,12,0,12,0,12
"19","10003012900","Census Tract 129, New Castle County, Delaware",0,12,0,12,0,12,52,39,0,12,0,12,0,12,42,27,93,62,103,64,28,30,33,55,66,58,28,36,19,27,8,12,0,12,0,12,0,12,0,12
"20","10003013200","Census Tract 132, New Castle County, Delaware",0,12,0,12,0,12,58,57,0,12,0,12,0,12,22,34,23,38,23,36,0,12,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
